Timestamp,Function,Best_Fitness,w,c1,c2
2026-05-24 12:06:45,rosenbrock,4.098271416439983,0.4,1.0,3.0
2026-05-24 12:06:45,ackley,2.886579864025407e-14,0.65,1.0,1.0
2026-05-24 12:07:09,sphere,2.038409218767744e-176,0.4,1.0,1.0
2026-05-24 12:07:09,rastrigin,0.0,0.4,1.0,1.0
2026-05-24 12:07:09,rosenbrock,0.0,0.65,1.0,1.0
2026-05-24 12:07:09,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-05-24 12:07:20,sphere,1.636636522679681e-51,0.65,1.0,1.0
2026-05-24 12:07:20,rastrigin,3.979836385168227,0.4,3.0,1.0
2026-05-24 12:07:20,rosenbrock,0.0019028237658054797,0.4,1.0,3.0
2026-05-24 12:07:20,ackley,3.0597746558669314e-13,0.65,1.0,1.0
